dataset_name,sample,seed#,seed_idx,total_params,train_time
mimic4,h,6669,0,862525,4176.514044284821
mimic4,h,1000,1,862525,4234.139372587204
mimic4,h,1050,2,862525,4197.342983007431
mimic4,m,6669,0,3296509,5010.0197603702545
mimic4,m,1000,1,3296509,4996.854229211807
mimic4,m,1050,2,3296509,4992.565702199936
mimic3,h,6669,0,411761,265.25895524024963
mimic3,h,1000,1,411761,265.9227542877197
mimic3,h,1050,2,411761,264.8481695652008
mimic3,m,6669,0,1329574,306.51796793937683
mimic3,m,1000,1,1329574,306.54900598526
mimic3,m,1050,2,1329574,307.1542327404022
